texts,created_at,location
"@CaucasusHW Where is your watch of heritage of Yeveran with its 50% muslim inhabitants 100 yrs ago, along with the mosques, historical part the town? Did it cross you mind why almost all buildings in Yerevan are less than 100 yrs old? What happened to historical Yerevan? Fully wiped out!",2022-10-06,"Samux, Azerbaijan"
"@Dolkun_Isa Why you guys working against almost all of Muslim countries?
What make you think you guys know how to take care of Uyghur people more than Muslim countries?",2022-10-06,"Brisbane, Queensland"
"@MelissaLantsman As if Conservatives give a toss about Muslims, especially Islamic women. This is to score cheap political points against Trudeau.",2022-10-06,
"When OPEC (Majority of rich Muslim Nations) decide to increase Oil Prices, do they keep in mind its impact on poor or developing Muslim countries like Pak, Indonesia or Malaysia?  No, they don't. It's all about money not religion. https://t.co/nKBgMSZQPh",2022-10-06, Earth. Human 
"Traditionally it was Muslim women who went 2 market, Market is where disease comes from...

Just a theory I'll be happy 2B told I'm wrong...

See how I skate...",2022-10-06,"Burien, WA"
"@SirGTully @RoemeltA @fridayjams @calvinrobinson The point was to highlight the widespread persecution of ✝️ bcos no1 is addressing it. U were the one who wanted to say Muslims are ""more persecuted"" rather than just comment on how awful ✝️ persecution is.That's not normal.Why do you want ppl to be silent on ✝️ persecution?",2022-10-06,Cymru ♡
"People must cease to neglect the Friday prayer or Allah will seal their hearts and then they will be among the negligent.

[Muslim]#MadiGujjar",2022-10-06,"سرگودھا, پاکستان"
@ReporterBhatti @Lahorepoliceops @ccpolahore Haramzady  ke olaad he s Muslim as well laneth  hy tum pr,2022-10-06,
@IranYork @Noorthevirgo @itspureluv U know u cant be Muslim and Liberal right? U cant be Muslim and support lgbt or drinking or profanity etc,2022-10-06,
@SophieHRW @andreasharsono @hrw @hrw_chinese Muslim countries are sellouts because they did not agree with you?,2022-10-06,Everywhere
"@Mujmoh3 @zahacktanvir So what happened afterwards look at today’s “Golden Age” of Pakistan, Yemen, Somalia, Syria,Iraq, Libiya https://t.co/ke0OVXhOrJ these countries are not being ruled by Muslims.",2022-10-06,
"@foodnreligion @MohammadCud Muslims try to protect what is sacred to them,they LOVE their Prophet PBUH so if you disgrace him, do NOT expect them to just watch it. As for the lack of coping, when someone commits a crime should the police just 'cope' with it and if they take actions it's them being incesure?",2022-10-06,"go away, I rant here "
"This week's must-listen podcast features an absolutely fascinating conversation with @ShahrokniN connecting her recent book with Iran's protest wave, Tarek Masoud on a decade's scholarship on Islamism, and @mdhrobbins on the new wave of the @ArabBarometer. https://t.co/ZrMUIaGpi4",2022-10-06,"ÜT: 37.892943,-122.270439"
"What sort of Islam is this, really? https://t.co/krwvh9qt9y",2022-10-06,
"music is corrupt as a whole and Causes so many issues within the human soul especially with stimulating/enhancing desires and causing lewdness. And Here we have muslims, defending them until their last breath and idolizing them. Loving them more then they love Allah استغفر الله",2022-10-06,"Kaduna, Nigeria"
"Im genuinely sick of muslims DEFENDING all these kaafir MUSIC artist with their whole chest like these people will literally save them on Yawmal Qiyamaah??? These musicians provide absolutely no goodness into the world OR the muslim community,",2022-10-06,"Kaduna, Nigeria"
"@alishan_jafri Behind every stone pelting by Muslims, there is a story a provocation which is never reported and the story line always starts from the stone pelting..",2022-10-06,
My name is “Sharif” which means I was given one the most holiest names know in Islam and the Universe period so I can’t profit off my birth name or alias a name “Ahayah Yasha” in anyway so I go by Reef to the public cuz that’s only name I can profit off of that’s organic to me,2022-10-06,St.Louis City 
"@intellect_an @nickschadegg but they were kicked off the team for just refusing to wear a pride jumper and attacked relentlessly from PM Albo down for upholding their Christian beliefs while the muslim aflw lady is ""supported in her decision"" for also refusing to wear a pride jumper. Can't have it both ways",2022-10-06,
@kennithebstad @Big_Boss_Al @NoWayWoke @EnglandFootball It's in Afhgan under terrorist rule. It's not real Islam.,2022-10-06,On my couch playing Smash Bros
"@dmuthuk Grow up,life is be beyond Hindu and Muslim fight. we all are human first.",2022-10-06,
"@drshamamohd @OhMyGod_India @narendramodi Coz, they are doing atrocities on Muslims in India which may open floodgates of these resolutions in UN and elsewhere against India.",2022-10-06,
@priyankac19 Did you check which countries voted against a debate. Entire GCC did not wanted to have a discussion on this topic inspite of being so vocal on all small incidences against Indian Muslim .,2022-10-06,Delhi
"Patience is the source of all goods. Allah (SWT) informed Muslims who are patient in hard times in the following verse: “But if you endure patiently, verily, it is better for As-Sabirin (the patient ones, etc.).” (Quran, 16:126)",2022-10-06,"Hyderabad, India"
